"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"2023F","US","NNRCE"," 170.3"," 178.3"," 190.9"," 195.9"," 206.8"," 213.1"," 225.9"," 235.4"," 242.7"," 257.9"," 262.6"," 270"," 278.7"," 265.1"," 259.7"," 266.4"," 273"," 260.6"," 264.4"," 267.9"," 253.7"," 242.5"," 248.3"," 236.2"," 245.8"," 239.2"," 232.4"," 233.1"," 250.1"," 258.9"," 237.2"," 246"," 253.1"," 268"," 262"," 262.3"," 283.9"," 270"," 245.7"," 255.7"," 269.1"," 258.3"," 264.4"," 275.7"," 263.8"," 261.7"," 236.6"," 256.1"," 265.1"," 258.9"," 258.5"," 254.9"," 224.8"," 266.2"," 277.6"," 252.9"," 238.7"," 242.2"," 274.4"," 276.1"," 257.2"," 259.3"," 272.9"," 248"
"2023F","US","NNTCE"," 646.5"," 674.8"," 717"," 753"," 798.9"," 824.1"," 888.3"," 938.7"," 1003.5"," 1079.6"," 1133.9"," 1169"," 1185.8"," 1180.2"," 1135"," 1044.6"," 1065.6"," 1044.1"," 1049.3"," 1082.2"," 1058.2"," 1033.1"," 961.7"," 901"," 962.3"," 927.1"," 868.7"," 923"," 965.5"," 1026.6"," 1027.1"," 1047.7"," 1082.2"," 1110.9"," 1137.4"," 1187.6"," 1209.9"," 1221.4"," 1195.7"," 1198.8"," 1246.6"," 1190.7"," 1231.8"," 1200"," 1206.3"," 1187.2"," 1169.1"," 1243.3"," 1252.1"," 1231.6"," 1292.4"," 1313.2"," 1371.4"," 1407.9"," 1437.6"," 1470.9"," 1481.8"," 1463.5"," 1626.5"," 1683"," 1652.6"," 1654.1"," 1742.3"," 1755.2"
"2023F","US","PMACE"," 720.7"," 734.9"," 767"," 795.2"," 818.7"," 845.1"," 890.2"," 934.7"," 1013"," 1056.2"," 1091.8"," 1135.5"," 1204.5"," 1272.4"," 1241.8"," 1257"," 1320.8"," 1374"," 1431.4"," 1417.4"," 1360.4"," 1346.1"," 1317.7"," 1329.3"," 1359.4"," 1392.5"," 1443.7"," 1488.6"," 1543.1"," 1553.3"," 1547.4"," 1531"," 1555.1"," 1566.8"," 1603.2"," 1637.3"," 1686.3"," 1703.6"," 1747.1"," 1792.8"," 1848.7"," 1821"," 1858.4"," 1879.3"," 1935.5"," 1955"," 1986.3"," 1987"," 1855.5"," 1789"," 1804.2"," 1769.3"," 1730.2"," 1744.3"," 1769.4"," 1794.2"," 1825.8"," 1841.6"," 1864.6"," 1862.9"," 1572.3"," 1741.9"," 1770.4"," 1783.5"
"2023F","US","PMCCE"," 91.8"," 93.3"," 95.7"," 94.5"," 93.5"," 103.8"," 107.4"," 111.1"," 113.3"," 114.3"," 116.7"," 113.6"," 115.1"," 117.7"," 106.9"," 98.4"," 109.8"," 113.6"," 109"," 100.3"," 96.8"," 82.2"," 76"," 85.3"," 89.8"," 79"," 84.9"," 82.5"," 80.2"," 75.7"," 72.1"," 67.9"," 64.9"," 59.4"," 59.9"," 55.8"," 57.1"," 53.5"," 50.5"," 50.7"," 58.3"," 57.1"," 52.3"," 60.8"," 58.5"," 55.1"," 47.7"," 46.5"," 47.2"," 47.2"," 46.3"," 45.2"," 39.9"," 39.5"," 40.8"," 61.1"," 58.7"," 57.7"," 59.3"," 60.1"," 57.7"," 62.8"," 66.4"," 61.2"
"2023F","US","PMEIE"," 41.5"," 41.8"," 42"," 43.9"," 47.6"," 54.2"," 66.3"," 75.8"," 88.7"," 117.9"," 159.4"," 187.6"," 232.6"," 263.9"," 252.8"," 237.5"," 260.8"," 292.6"," 299.3"," 246.5"," 197.7"," 165.3"," 117.7"," 116"," 96.7"," 82"," 109.2"," 94.6"," 117.6"," 128.1"," 97.5"," 90.7"," 75.5"," 86.4"," 81.2"," 58.7"," 63.4"," 72.2"," 101.3"," 93.8"," 88.5"," 98.6"," 76.9"," 95.1"," 95.8"," 98"," 53.3"," 53"," 38.4"," 32.2"," 31.4"," 25.8"," 18.3"," 22.4"," 25.3"," 23.7"," 21.4"," 18.9"," 22.2"," 16.2"," 16.2"," 17.7"," 20.5"," 14.7"
"2023F","US","PMICE"," 328"," 326.7"," 337.2"," 344.7"," 363"," 376.5"," 389.1"," 389.6"," 395.9"," 408.9"," 407.8"," 409.3"," 445.1"," 469"," 441.5"," 418.2"," 463.6"," 503.8"," 496"," 524.7"," 463.2"," 396.5"," 378.6"," 349.6"," 376.9"," 356.5"," 362.1"," 359.8"," 378.2"," 362.1"," 367.1"," 342"," 381.5"," 367.7"," 378.5"," 365.8"," 393.1"," 395.2"," 378.7"," 388.8"," 370.3"," 400.9"," 386.9"," 395.6"," 419.5"," 416.8"," 427.8"," 413.2"," 384.8"," 333.9"," 344.2"," 342.9"," 344.6"," 348"," 344.1"," 340.8"," 345.7"," 353.2"," 361"," 363.5"," 335.1"," 345.7"," 325"," 324.9"
"2023F","US","PMRCE"," 161.1"," 165.9"," 173.4"," 174.2"," 167.7"," 175.4"," 174.3"," 181.7"," 190.7"," 193.7"," 195.3"," 196.9"," 205.3"," 200.7"," 182.9"," 177.6"," 193.9"," 192.5"," 187.2"," 151.4"," 124.7"," 109.9"," 102.8"," 96.3"," 110"," 112.2"," 110.5"," 115.7"," 120"," 118.5"," 99.2"," 97.9"," 100.5"," 102.1"," 99.8"," 97.2"," 104.4"," 100"," 91.6"," 102.4"," 109.4"," 107.8"," 102.3"," 109"," 107.4"," 102.1"," 85.8"," 87.2"," 92"," 79.6"," 77.1"," 71"," 61.2"," 66.1"," 71.2"," 69.4"," 59.8"," 59.3"," 69.4"," 70.4"," 61.6"," 66"," 67.6"," 65.2"
"2023F","US","PMTCE"," 1343.1"," 1362.6"," 1415.3"," 1452.5"," 1490.5"," 1554.9"," 1627.4"," 1693"," 1801.6"," 1890.9"," 1970.9"," 2042.9"," 2202.6"," 2323.7"," 2225.9"," 2188.6"," 2348.9"," 2476.5"," 2523"," 2440.3"," 2242.9"," 2100"," 1992.8"," 1976.5"," 2032.9"," 2022.1"," 2110.3"," 2141.2"," 2239.1"," 2237.8"," 2183.3"," 2129.5"," 2177.6"," 2182.4"," 2222.7"," 2214.8"," 2304.3"," 2324.5"," 2369.3"," 2428.6"," 2475.4"," 2485.4"," 2476.8"," 2539.8"," 2616.8"," 2627.1"," 2600.9"," 2586.9"," 2417.9"," 2281.9"," 2303.2"," 2254.3"," 2194.2"," 2220.3"," 2250.8"," 2289.2"," 2311.5"," 2330.7"," 2376.5"," 2373.1"," 2042.8"," 2234.2"," 2249.9"," 2249.5"
"2023F","US","TEACE"," 746.9"," 757.5"," 789.6"," 820"," 844.3"," 874.1"," 921"," 967.2"," 1046.2"," 1091.3"," 1131.7"," 1176.3"," 1246.5"," 1312.1"," 1278.2"," 1288.6"," 1350.5"," 1402.9"," 1460.1"," 1449.9"," 1394.9"," 1381.1"," 1350.3"," 1356.1"," 1388.3"," 1420.1"," 1470.2"," 1517.1"," 1576.7"," 1587.7"," 1583.6"," 1564"," 1587.5"," 1601"," 1640.9"," 1675.9"," 1725.6"," 1745.5"," 1782.4"," 1828.6"," 1884.5"," 1855.8"," 1895.5"," 1912.6"," 1967.5"," 1988.1"," 2019.5"," 2022.2"," 1892.3"," 1827"," 1842.4"," 1808.4"," 1771.7"," 1791.4"," 1809.8"," 1833.7"," 1865.9"," 1884"," 1915.5"," 1921.8"," 1631"," 1806.9"," 1842.5"," 1854.9"
"2023F","US","TECCE"," 186.4"," 187.6"," 196.3"," 193.7"," 194.5"," 207.7"," 220.9"," 239.4"," 246.2"," 255.6"," 262.5"," 266.9"," 271.5"," 274.1"," 262.2"," 247.9"," 267.6"," 262.9"," 264.9"," 265"," 247.6"," 229.9"," 230.7"," 232.1"," 242.1"," 223.2"," 222.7"," 225.8"," 236.9"," 233.8"," 225.4"," 226.3"," 227.5"," 225.2"," 227.6"," 230.9"," 239.7"," 239.9"," 223.1"," 225.3"," 238.5"," 229.3"," 230.8"," 241.4"," 237.9"," 227"," 207.3"," 216.7"," 225.6"," 223.1"," 220.6"," 221.6"," 200.9"," 222.6"," 233.8"," 239.4"," 231.5"," 233.2"," 253.8"," 254.8"," 232.9"," 244.8"," 260.6"," 245.3"
